index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
0,43359.684,0.53713775,0.5686130547450161,,0.5429581026620555,0.3840376883682408,GM21381,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
1,99390.37,0.4838311,0.5750256791807653,,0.6306580024063474,0.5858678476402431,GM23338,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
2,49618.566,0.44954407,0.44611353521346914,,0.5932939817041918,0.6271388909498521,HepG2,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
3,67597.945,0.54398984,0.589310436535244,,0.5694284483547558,0.44807877102693283,RWPE2,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
4,46136.824,0.5224766,0.5479259746423272,,0.42070409156802036,0.2725497964039996,HG03575,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
5,62236.945,0.50481796,0.5557124916251533,,0.635208673822229,0.5926764055788549,K562,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
6,15605.372,0.53808165,0.5447956882520445,,0.49870284116278696,0.32429409758943684,DND-41,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
7,44899.258,0.5053916,0.5209438079653448,,0.5767617918249799,0.4955866556424642,GM12878,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
8,58194.31,0.45763922,0.5542102963857078,,0.6759364903259664,0.6504164800275402,A549,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
9,42786.01,0.5214555,0.5350015792645114,,0.6377262043007801,0.4289119345375759,HCT116,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
10,58101.63,0.42973462,0.45096586734320143,,0.5276357985598162,0.3443839457740803,IMR-90,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
11,49279.766,0.51627684,0.5597179278053054,,0.6048132011884401,0.4977553232611579,NCI-H929,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
12,68438.445,0.51052195,0.5950282542147926,,0.606854617003308,0.4486629730054993,Panc1,raw,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
